name,PARTY,handle,STATEABBR,RACE,DISTRICT,ELECTIONDATE,VOTE_SHARE,NOTES,NONPARTISAN_PRIMARY,DISTRICT_CORR,STATE_CORR,RUNOFF_PERC,RANKED_CHOICE_VOTING,COMPLETE
Javier G. Ramos,D,,AZ,US Representative,5,02/08/2022,100,,,,,,,Y
Joan Greene,D,joangreeneaz,AZ,US Representative,5,02/08/2022,,NL,,,,,,Y
Andy Biggs,R,andybiggs4az,AZ,US Representative,5,02/08/2022,99.5,,,,,,,Y
Elijah Norton,R,nortonforaz,AZ,US Representative,6,02/08/2022,33.4,,,1,,,,Y
Jevin D. Hodge,D,jevinhodge,AZ,US Representative,6,02/08/2022,61.9,,,1,,,,Y
Eric Ulis,D,ericulis,AZ,US Representative,6,02/08/2022,,WD,,,,,,Y
Delina DiSanto,D,delina4az,AZ,US Representative,6,02/08/2022,0.2,,,1,,,,Y
Hiral Vyas Tipirneni,D,hiral4congress,AZ,US Representative,6,02/08/2022,,NL,,,,,,Y
Kelly Townsend,R,azkellyt,AZ,US Representative,6,02/08/2022,,WD,,1,,,,Y
David Schweikert,R,davidschweikert,AZ,US Representative,6,02/08/2022,43.3,,,1,,,,Y
Luis B. Pozzolo,R,luis4congress,AZ,US Representative,7,02/08/2022,69,,,,,,,Y
Jeffrey N. Zink,R,realjeffzink,AZ,US Representative,7,02/08/2022,100,,,3,,,,Y
Ruben Gallego,D,rubengallego,AZ,US Representative,7,02/08/2022,100,,,3,,,,Y
Michael A. Muscato,D,michael_muscato,AZ,US Representative,8,02/08/2022,,NL,,,,,,Y
Debbie Lesko,R,debbielesko,AZ,US Representative,8,02/08/2022,100,,,4,,,,Y
Alex Stovall,R,alexforarizona,AZ,US Representative,9,02/08/2022,,WD,,4,,,,Y
Tanya C. Wheeless,R,,AZ,US Representative,9,02/08/2022,25.4,,,4,,,,Y
Greg Stanton,D,gregstantonaz,AZ,US Representative,9,02/08/2022,100,,,4,,,,Y
David V. Giles,R,votegiles,AZ,US Representative,9,02/08/2022,18.7,,,4,,,,Y
Saul Rodriguez,R,8aularodriguez,AZ,US Representative,9,02/08/2022,,WD,,,,,,Y
Blake Masters,R,bgmasters,AZ,US Senator,,02/08/2022,40.2,,,,,,,Y
Jim Lamon,R,jim_lamon,AZ,US Senator,,02/08/2022,28.1,,,,,,,Y
Robert Paveza,R,robpavezaaz,AZ,US Senator,,02/08/2022,,WD,,,,,,Y
Mark Kelly,D,senmarkkelly,AZ,US Senator,,02/08/2022,100,,,,,,,Y
Michael T. McGuire,R,generalmcguire,AZ,US Senator,,02/08/2022,8.7,,,,,,,Y
Mark Brnovich,R,brnoforaz,AZ,US Senator,,02/08/2022,17.7,,,,,,,Y
Justin D. Olson,R,_justinolson,AZ,US Senator,,02/08/2022,5.2,,,,,,,Y
Monte Hodges,D,monteforar,AR,US Representative,1,24/05/2022,,C,,,,,,Y
Rick Crawford,R,crawford4cong,AR,US Representative,1,24/05/2022,73.2,,,,,,,Y
Quintessa Hathaway,D,ncartwrightar,AR,US Representative,2,24/05/2022,,C,,,,,,Y
Nicolas Cartwright,D,ncartwrightar,AR,US Representative,2,24/05/2022,,WD,,,,,,Y
French Hill,R,electfrench,AR,US Representative,2,24/05/2022,58.4,,,,,,,Y
Conrad E. Reynolds,R,colonelreynolds,AR,US Representative,2,24/05/2022,41.6,,,,,,,Y
Lauren Hays,D,lauren4arkansas,AR,US Representative,3,24/05/2022,,C,,,,,,Y
Steve Womack,R,womack4congress,AR,US Representative,3,24/05/2022,81.1,,,,,,,Y
Bruce Westerman,R,westermanar,AR,US Representative,4,24/05/2022,,C,,,,,,Y
Natalie James,D,jamesforar,AR,US Senator,,24/05/2022,54.1,,,,,,,Y
Jake Bequette,R,jakebequette91,AR,US Senator,,24/05/2022,21,,,,,,,Y
Michael Deel,R,mdeel2022,AR,US Senator,,24/05/2022,,WD,,,,,,Y
Heath Loftis,R,pstrheathloftis,AR,US Senator,,24/05/2022,2.3,,,,,,,Y
Daniel A. Whitfield,D,danwhitcongress,AR,US Senator,,24/05/2022,30.8,,,,,,,Y
Jan Morgan,R,janmorganmedia,AR,US Senator,,24/05/2022,18.6,,,,,,,Y
John Boozman,R,boozman4ar,AR,US Senator,,24/05/2022,58.1,,,,,,,Y
David Leon Zink,D,realjeffzink,CA,US Representative,1,07/06/2022,,WD,1,,,,,Y
Max Steiner,D,maxsteinerca,CA,US Representative,1,07/06/2022,38.4,,1,,,,,Y
Doug LaMalfa,R,,CA,US Representative,1,07/06/2022,51.3,,1,,,,,Y
Simon M. Aslanpour,R,simonaslanpour,CA,US Representative,10,07/06/2022,,WD,1,,,,,Y
Angelina Rosario Sigala,D,,CA,US Representative,10,07/06/2022,,WD,1,,,,,Y
Josh Harder,D,joshharder,CA,US Representative,10,07/06/2022,36.7,,1,9,,,,Y
Jeff Denham,R,jeffdenham,CA,US Representative,10,07/06/2022,,NL,1,,,,,Y
Mark DeSaulnier,D,markdesaulnier,CA,US Representative,11,07/06/2022,84,,1,10,,,,Y
Greg Lentz,R,,CA,US Representative,12,07/06/2022,,WD,1,,,,,Y
Bianca Von Krieg,D,therealbaroness,CA,US Representative,12,07/06/2022,1.3,,1,11,,,,Y
Eric A. Curry,D,ericcurrysf,CA,US Representative,12,07/06/2022,,WD,1,11,,,,Y
Jeffrey A. Phillips,D,12thjeff,CA,US Representative,12,07/06/2022,1.9,,1,11,,,,Y
Shahid A. Buttar,D,shahidforchange,CA,US Representative,12,07/06/2022,10.4,,1,11,,,,Y
John Dennis,R,realjohndennis,CA,US Representative,12,07/06/2022,10.7,,1,11,,,,Y
Nancy Pelosi,D,teampelosi,CA,US Representative,12,07/06/2022,71.7,,1,11,,,,Y
David A. Giglio,R,davidgiglioca,CA,US Representative,13,07/06/2022,14.8,,1,,,,,Y
Phil Arballo,D,philarballo,CA,US Representative,13,07/06/2022,17.7,,1,,,,,Y
Adam Gray,D,adamgrayca,CA,US Representative,13,07/06/2022,31.1,,1,,,,,Y
Barbara Lee,D,,CA,US Representative,13,07/06/2022,87.7,,1,12,,,,Y
Tom K. Wong,R,tomwongphd,CA,US Representative,14,07/06/2022,9.4,,1,,,,,Y
Kevin Mullin,D,kevinmullin,CA,US Representative,14,07/06/2022,41.1,,1,15,,,,Y
David Canepa,D,davidcanepa,CA,US Representative,14,07/06/2022,24.1,,1,15,,,,Y
Jackie Speier,D,jackiespeier,CA,US Representative,14,07/06/2022,,NL,1,,,,,Y
Alison Hayden,R,alison4congress,CA,US Representative,15,07/06/2022,10.3,,1,14,,,,Y
Nathan K. Brown,R,,CA,US Representative,16,07/06/2022,,WD,1,,,,,Y
Ro Khanna,D,rokhanna,CA,US Representative,17,07/06/2022,66,,1,,,,,Y
Ajwang Rading,D,ajwangrading,CA,US Representative,18,07/06/2022,6.7,,1,16,,,,Y
Greg Tanaka,D,gregtanaka,CA,US Representative,18,07/06/2022,6.6,,1,16,,,,Y
Rishi Kumar,D,rishikumar1,CA,US Representative,18,07/06/2022,15.6,,1,16,,,,Y
Peter Ohtaki,R,pohtaki,CA,US Representative,18,07/06/2022,12.6,,1,16,,,,Y
Anna G. Eshoo,D,eshoo4congress,CA,US Representative,18,07/06/2022,47.9,,1,16,,,,Y
Ignacio I. Cruz,R,iicruzusa,CA,US Representative,19,07/06/2022,,NL,1,,,,,Y
Zoe Lofgren,D,zoelofgren,CA,US Representative,19,07/06/2022,56.1,,1,18,,,,Y
Jared Huffman,D,jaredhuffman,CA,US Representative,2,07/06/2022,68.7,,1,,,,,Y
Jeffrey Gorman,R,jeffgormanmry,CA,US Representative,20,07/06/2022,23.3,,1,19,,,,Y
Jimmy Panetta,D,jimmypanetta,CA,US Representative,20,07/06/2022,67.3,,1,19,,,,Y
Angel Lara,D,,CA,US Representative,21,07/06/2022,,WD,1,21,,,,Y
T.J. Cox,D,tjcoxcongress,CA,US Representative,21,07/06/2022,,NL,1,,,,,Y
Nicole M. Parra,D,,CA,US Representative,21,07/06/2022,,WD,1,,,,,Y
Bryan Osorio,D,bryanosorio2022,CA,US Representative,22,07/06/2022,,WD,1,,,,,Y
Chris P. Mathys,R,chrismathysca21,CA,US Representative,22,07/06/2022,23.4,,1,,,,,Y
Martha E. Flores-Gibson,R,vote4martha,CA,US Representative,22,07/06/2022,,WD,1,,,,,Y
David Valadao,R,dgvaladao,CA,US Representative,22,07/06/2022,25.6,,1,,,,,Y
Rudy Salas,D,rudysalasjr,CA,US Representative,22,07/06/2022,45.2,,1,,,,,Y
Devin Nunes,R,team_nunes,CA,US Representative,22,07/06/2022,,NL,1,,,,,Y
Louis Gill,D,,CA,US Representative,23,07/06/2022,,WD,1,,,,,Y
Marisa Wood,D,marisawoodca,CA,US Representative,23,07/06/2022,24,,1,20,,,,Y
Bruno Amato,D,brunoamato_1,CA,US Representative,23,07/06/2022,,WD,1,,,,,Y
Kevin McCarthy,R,kevinomccarthy,CA,US Representative,23,07/06/2022,61.3,,1,20,,,,Y
Salud Carbajal,D,carbajalsalud,CA,US Representative,24,07/06/2022,60,,1,,,,,Y
Dara Faye Stransky,D,darafaye,CA,US Representative,25,07/06/2022,,WD,1,,,,,Y
Quaye Quartey,D,quayequartey,CA,US Representative,25,07/06/2022,6.8,,1,27,,,,Y
Ruth Luevanos,D,,CA,US Representative,25,07/06/2022,5.5,,1,27,,,,Y
Rhoda Nazanin,D,rhoda4congress,CA,US Representative,25,07/06/2022,,WD,1,,,,,Y
Mike Garcia,R,electmikegarcia,CA,US Representative,25,07/06/2022,47.1,,1,27,,,,Y
Christy Smith,D,christysmithca,CA,US Representative,25,07/06/2022,37.4,,1,27,,,,Y
Fadde Mikhail,R,fadde,CA,US Representative,26,07/06/2022,1.6,,1,,,,,Y
Matthew Jacobs,R,mattjacobsca,CA,US Representative,26,07/06/2022,38.4,,1,,,,,Y
Ronda Baldwin Kennedy,R,ronda4congress,CA,US Representative,26,07/06/2022,8.5,,1,,,,,Y
Julia Brownley,D,juliabrownley,CA,US Representative,26,07/06/2022,54.3,,1,,,,,Y
Judy Chu,D,judychucampaign,CA,US Representative,27,07/06/2022,63,,1,28,,,,Y
G. Maebe Pudlo,D,maebe_a_girl,CA,US Representative,28,07/06/2022,12.9,,1,30,,,,Y
Johnny J. Nalbandian,R,johnny_congress,CA,US Representative,28,07/06/2022,4.7,,1,30,,,,Y
Sal Genovese,D,genovesesal,CA,US Representative,28,07/06/2022,1.6,,1,30,,,,Y
Adam Schiff,D,adamschiff,CA,US Representative,28,07/06/2022,62.4,,1,30,,,,Y
Angelica M. Duenas,D,angelica4ca,CA,US Representative,29,07/06/2022,22.8,,1,29,,,,Y
Tony Cardenas,D,tcardenas,CA,US Representative,29,07/06/2022,56.7,,1,29,,,,Y
Jim Scott,R,bestofalllll,CA,US Representative,3,07/06/2022,,NL,1,,,,,Y
Jason Paletta,R,,CA,US Representative,3,07/06/2022,,NL,1,,,,,Y
Monika L. London,R,,CA,US Representative,3,07/06/2022,,WD,1,,,,,Y
Tamika Hamilton,R,tamikaghamilton,CA,US Representative,3,07/06/2022,18.8,,1,6,,,,Y
Scott R. Jones,R,sheriffsjones,CA,US Representative,3,07/06/2022,16.2,,1,,,,,Y
John Garamendi,D,johngaramendi,CA,US Representative,3,07/06/2022,63.1,,1,8,,,,Y
Jason R. Potell,D,jasonpotell,CA,US Representative,30,07/06/2022,1.8,,1,32,,,,Y
Aarika S. Rhodes,D,aarikarhodes,CA,US Representative,30,07/06/2022,5.3,,1,32,,,,Y
Shervin Aazami,D,aazamishervin,CA,US Representative,30,07/06/2022,9.2,,1,32,,,,Y
Lucie LaPointe Volotzky,R,volotzkylucie,CA,US Representative,30,07/06/2022,19.7,,1,32,,,,Y
Raji Rab,D,,CA,US Representative,30,07/06/2022,1.8,,1,32,,,,Y
Rex D.A. Gutierrez,R,rexforcongress,CA,US Representative,31,07/06/2022,15.4,,1,33,,,,Y
Carolyn Covell,R,covell4congress,CA,US Representative,31,07/06/2022,,WD,1,,,,,Y
Pete Aguilar,D,,CA,US Representative,31,07/06/2022,59.8,,1,,,,,Y
Leah M. Toomim,R,mtoomim,CA,US Representative,32,07/06/2022,,NL,1,,,,,Y
Grace F. Napolitano,D,grace4congress,CA,US Representative,32,07/06/2022,55.5,,1,31,,,,Y
Sarah Sun Liew,R,drsarahsunliew1,CA,US Representative,33,07/06/2022,,NL,1,,,,,Y
Ted Lieu,D,tedlieu,CA,US Representative,33,07/06/2022,67.1,,1,36,,,,Y
Jimmy Gomez,D,jimmygomezca,CA,US Representative,34,07/06/2022,50.7,,1,,,,,Y
Norma Torres,D,norma4congress,CA,US Representative,35,07/06/2022,54.3,,1,,,,,Y
Brian E. Hawkins,R,realpastorbrian,CA,US Representative,36,07/06/2022,16.4,,1,25,,,,Y
Raul Ruiz,D,dr_raulruiz,CA,US Representative,36,07/06/2022,56.4,,1,25,,,,Y
Jeremiah David Diacogiannis,R,,CA,US Representative,37,01/03/2022,25.4,,,,TX,,,Y
Jan Perry,D,janperry,CA,US Representative,37,07/06/2022,18.5,,1,,,,,Y
Daniel Wayne Lee,D,danielwaynelee0,CA,US Representative,37,07/06/2022,17.9,,1,,,,,Y
Karen Bass,D,,CA,US Representative,37,07/06/2022,,NL,1,,,,,Y
Sylvester U. Ani,D,sjr2022,CA,US Representative,38,07/06/2022,,WD,1,,,,,Y
Elizabeth Moreira,D,,CA,US Representative,38,07/06/2022,,WD,1,,,,,Y
Linda Sanchez,D,lindatsanchez,CA,US Representative,38,07/06/2022,58.7,,1,,,,,Y
Eric J. Ching,R,,CA,US Representative,39,07/06/2022,30.5,,1,38,,,,Y
Young Kim,R,youngkimca,CA,US Representative,39,07/06/2022,34.7,,1,40,,,,Y
Jay F. Chen,D,jfchen,CA,US Representative,39,07/06/2022,43.1,,1,45,,,,Y
Kermit Jones,D,drkermitjones,CA,US Representative,4,07/06/2022,38.7,,1,3,,,,Y
Brynne Kennedy,D,brynnespeak,CA,US Representative,4,07/06/2022,,NL,1,,,,,Y
Tom McClintock,R,tommcclintock,CA,US Representative,4,07/06/2022,45.5,,1,5,,,,Y
Jazmin Nicole Lopez,D,,CA,US Representative,40,07/06/2022,3.4,,1,42,,,,Y
Nicholas A. Taurus,R,,CA,US Representative,40,07/06/2022,1.2,,1,,,,,Y
Anthony Felix,D,anthonyfelixjr,CA,US Representative,40,07/06/2022,,NL,1,,,,,Y
Bill Spiney,R,bill_spinney,CA,US Representative,41,07/06/2022,,NL,1,,,,,Y
Aja Smith,R,ajaforcongress,CA,US Representative,41,07/06/2022,12.6,,1,39,,,,Y
Mark Takano,D,marktakano,CA,US Representative,41,07/06/2022,57.1,,1,39,,,,Y
Shrina Kurani,D,shrinakurani,CA,US Representative,42,07/06/2022,15.6,,1,41,,,,Y
Brandon Mosely,D,mosely4congress,CA,US Representative,42,07/06/2022,,WD,1,,,,,Y
Angel A. Rios,D,,CA,US Representative,42,07/06/2022,,WD,1,,,,,Y
Regina L. Marston,D,marston4ca42,CA,US Representative,42,07/06/2022,,NL,1,,,,,Y
William E. O'Mara,D,liamomaraiv,CA,US Representative,42,07/06/2022,,NL,1,,,,,Y
Robert Garcia,D,robertgarcia,CA,US Representative,42,07/06/2022,46.7,,1,,,,,Y
Cristina Garcia,D,cgarcia_ca,CA,US Representative,42,07/06/2022,12.6,,1,,,,,Y
Ken Calvert,R,teamcalvert,CA,US Representative,42,07/06/2022,48.2,,1,41,,,,Y
Joe E. Collins,R,joeecollins3,CA,US Representative,43,07/06/2022,,NL,1,,,,,Y
Omar Navarro,R,realomarnavarro,CA,US Representative,43,07/06/2022,11.9,,1,,,,,Y
Maxine Waters,D,maxinewaters,CA,US Representative,43,07/06/2022,74.3,,1,,,,,Y
Nanette Diaz Barragan,D,nanette4ca,CA,US Representative,44,07/06/2022,68.7,,1,,,,,Y
Adam Matthew Hancock,R,adamphancock,CA,US Representative,45,07/06/2022,,WD,1,,,,,Y
Nicholas A. Taurus,R,,CA,US Representative,45,07/06/2022,,DUP,1,,,,,Y
Christopher J. Gonzales,R,gonzalesforca45,CA,US Representative,45,07/06/2022,15.6,,1,46,,,,Y
Amy Phan West,R,amyphanwest,CA,US Representative,45,07/06/2022,8.3,,1,47,,,,Y
Brian J. Burley,R,,CA,US Representative,45,07/06/2022,7.1,,1,47,,,,Y
Katie Porter,D,katieporteroc,CA,US Representative,45,07/06/2022,51.7,,1,47,,,,Y
Brian Forde,D,brianforde,CA,US Representative,45,07/06/2022,,NL,1,,,,,Y
Michael Ortega,D,ortega4congress,CA,US Representative,46,07/06/2022,12.3,,1,,,,,Y
Lou Correa,D,voteloucorrea,CA,US Representative,46,07/06/2022,49.1,,1,,,,,Y
William Moses Summerville,D,wmsforthepeople,CA,US Representative,47,07/06/2022,2.5,,1,42,,,,Y
Errol Webber,R,errolwebber,CA,US Representative,47,07/06/2022,2,,1,,,,,Y
John F. Briscoe,R,,CA,US Representative,47,07/06/2022,26.1,,1,42,,,,Y
Scott Baugh,R,scottbaughca47,CA,US Representative,47,07/06/2022,30.9,,1,,,,,Y
Alan Lowenthal,D,alanlowenthal,CA,US Representative,47,07/06/2022,,NL,1,,,,,Y
Michelle Steel,R,michellesteelca,CA,US Representative,48,07/06/2022,48.2,,1,45,,,,Y
Harley Rouda,D,harleyrouda,CA,US Representative,48,07/06/2022,,WD,1,,,,,Y
Darrell Issa,R,darrellissa,CA,US Representative,48,07/06/2022,61.5,,1,,,,,Y
Lisa Bartlett,R,ocsupbartlett,CA,US Representative,49,07/06/2022,10.7,,1,,,,,Y
Christopher Rodriguez,R,vote4crod,CA,US Representative,49,07/06/2022,9.7,,1,,,,,Y
Brian L. Maryott,R,brianlmaryott,CA,US Representative,49,07/06/2022,19,,1,,,,,Y
Mike Levin,D,mikelevin,CA,US Representative,49,07/06/2022,48.9,,1,,,,,Y
Michael J. Barkley,D,mjbarkl,CA,US Representative,5,07/06/2022,33.6,,1,,,,,Y
Elizabeth Heng,R,elizabethheng,CA,US Representative,5,07/06/2022,6.2,,1,22,,,,Y
John A. Estrada,R,,CA,US Representative,5,07/06/2022,,WD,,,,,,Y
Mike Thompson,D,mike_ca05,CA,US Representative,5,07/06/2022,67,,1,4,,,,Y
Kylie Taitano,D,kylietaitano,CA,US Representative,50,07/06/2022,9.4,,1,,,,,Y
Joseph C. Rocha,D,joseph_c_rocha,CA,US Representative,50,07/06/2022,,WD,1,,,,,Y
Mari Barosay,D,,CA,US Representative,50,07/06/2022,,WD,1,,,,,Y
Stephen W. Houlahan,D,electhoulahan,CA,US Representative,50,07/06/2022,27.8,,1,,,,,Y
Sam Abed,R,mayorsamabed,CA,US Representative,50,07/06/2022,,WD,1,,,,,Y
Darrell Issa,R,darrellissa,CA,US Representative,50,07/06/2022,61.5,,1,,,,,Y
Barrett Holman Leak,D,holmanleak,CA,US Representative,51,07/06/2022,0,,1,,,,,Y
Sara Jacobs,D,sarajacobsca,CA,US Representative,51,07/06/2022,60.5,,1,,,,,Y
Judah Hosanna,R,judahhosanna,CA,US Representative,52,07/06/2022,,WD,1,,,,,Y
James DeBello,R,debellocongress,CA,US Representative,52,07/06/2022,,NL,1,,,,,Y
Joaquin Vazquez,D,vazquez4ca52,CA,US Representative,52,07/06/2022,10.4,,1,,,,,Y
Scott Peters,D,scottpeterssd,CA,US Representative,52,07/06/2022,52.3,,1,50,,,,Y
Christine Bish,R,bishforcongress,CA,US Representative,6,07/06/2022,7.9,,1,,,,,Y
Jimmy Fremgen,D,jimmy_fremgen,CA,US Representative,6,07/06/2022,8.4,,1,7,,,,Y
Doris Matsui,D,matsui4congress,CA,US Representative,6,07/06/2022,63.2,,1,7,,,,Y
Robert Patterson,R,buzzpatterson,CA,US Representative,7,07/06/2022,33.6,,1,,,,,Y
Ami Bera,D,beraforcongress,CA,US Representative,7,07/06/2022,50.3,,1,,,,,Y
Edwin Rutsch,D,edwinrutsch,CA,US Representative,8,07/06/2022,2.9,,1,,,,,Y
Derek Marshall,D,derekmarshallca,CA,US Representative,8,07/06/2022,21.8,,1,23,,,,Y
Blanca A. Gomez,D,gomblan1,CA,US Representative,8,07/06/2022,17.3,,1,23,,,,Y
Jay Obernolte,R,teamobernolte,CA,US Representative,8,07/06/2022,60.9,,1,23,,,,Y
Cheryl Sudduth,D,cbsudduth,CA,US Representative,8,07/06/2022,9.9,,1,,,,,Y
Thomas Patti,R,supetompatti,CA,US Representative,9,07/06/2022,,NL,1,,,,,Y
Harpreet Singh Chima,D,harpreetchima,CA,US Representative,9,07/06/2022,7.9,,1,,,,,Y
Jerry McNerney,D,jerrymcnerney,CA,US Representative,9,07/06/2022,,NL,1,,,,,Y
Cordie Lee Williams,R,,CA,US Senator,,07/06/2022,6.9,,1,,,,,Y
Danny Fabricant,R,dannyfabricant,CA,US Senator,,07/06/2022,,WD,1,,,,,Y
Christopher M. Theodore,D,chrismtheodore,CA,US Senator,,07/06/2022,,WD,1,,,,,Y
Ernest Taylor,D,ernest2022,CA,US Senator,,07/06/2022,,WD,1,,,,,Y
Jessica S. Resendez,D,jessicaad03,CA,US Senator,,07/06/2022,,NL,1,,,,,Y
Lily Zhou,R,thezmedia,CA,US Senator,,07/06/2022,0,,1,,,,,Y
Peter Y. Liu,R,,CA,US Senator,,07/06/2022,,WD,1,,,,,Y
James P. Bradley,R,jamesbradleyca,CA,US Senator,,07/06/2022,3.4,,1,,,,,Y
Erin Alvarez Cruz,R,realerincruz,CA,US Senator,,07/06/2022,4,,1,,,,,Y
Douglas H. Pierce,D,pierceussenate,CA,US Senator,,07/06/2022,1.7,,1,,,,,Y
Mark P. Meuser,R,markmeuser,CA,US Senator,,07/06/2022,14.9,,1,,,,,Y
Elizabeth Heng,R,elizabethheng,CA,US Senator,,07/06/2022,,WD,1,,,,,Y
Alex Padilla,D,alexpadilla4ca,CA,US Senator,,07/06/2022,54.1,,1,,,,,Y
Neal Walia,D,,CO,US Representative,1,28/06/2022,15.4,,,,,,,Y
Dom Waters,D,domwatersushou1,CO,US Representative,1,28/06/2022,,WD,,,,,,Y
Diana DeGette,D,degette5280,CO,US Representative,1,28/06/2022,84.6,,,,,,,Y
Joe Neguse,D,joeneguse,CO,US Representative,2,28/06/2022,100,,,,,,,Y
Scott Yates,D,scodtt,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Colin Buerger,D,cole4colorado,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Kellie Rhodes,D,rhodes2congress,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Debora L. Burnett,D,burnettforco3,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Marina Zimmerman,R,marina4colorado,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Soledad Sandoval Tafoya,D,solforco,CO,US Representative,3,28/06/2022,41.9,,,,,,,Y
