INCUMBENT,STATUS,ELECTIONCODE,ELECTIONDATE,STATEABBR,LEVEL,CHAMBER,DISTRICT,RACE,ETHNICITY,GENDER,PARTY,screen_name,name
Y,Running,P,2022-08-02,AZ,FL,FH,7.0,US Representative,Hispanic/Latino,Male,D,standwithraul,Raul M. Grijalva
,Running,P,2022-08-02,AZ,FL,FH,4.0,US Representative,,Male,R,kellycooperaz,Kelly Cooper
,Running,P,2022-08-02,AZ,FL,FH,4.0,US Representative,White/Caucasian,Male,R,brandondehartaz,Brandon DeHart
,Withdrew From Race,P,2022-08-02,AZ,FL,FH,4.0,US Representative,White/Caucasian,Female,D,stahl4congress,Judy Stahl
,Running,P,2022-08-02,AZ,FL,FH,5.0,US Representative,,Male,D,lariveeforaz,Benjamin Larivee
,Running,P,2022-08-02,AZ,FL,FH,5.0,US Representative,Hispanic/Latino,Male,D,ramoscd5,Javier G. Ramos
,Withdrew From Race,P,2022-08-02,AZ,FL,FH,5.0,US Representative,White/Caucasian,Female,D,joangreeneaz,Joan Greene
Y,Running,P,2022-08-02,AZ,FL,FH,5.0,US Representative,White/Caucasian,Male,R,andybiggs4az,Andy Biggs
,Running,P,2022-08-02,AZ,FL,FH,6.0,US Representative,White/Caucasian,Male,R,nortonforaz,Elijah Norton
,Running,P,2022-08-02,AZ,FL,FH,6.0,US Representative,,Male,D,jevinhodge,Jevin D. Hodge
,Running,P,2022-08-02,AZ,FL,FH,6.0,US Representative,White/Caucasian,Male,D,ericulis,Eric Ulis
,Running,P,2022-08-02,AZ,FL,FH,6.0,US Representative,White/Caucasian,Female,D,delina4az,Delina DiSanto
,Withdrew From Race,P,2022-08-02,AZ,FL,FH,6.0,US Representative,Other,Female,D,hiral4congress,Hiral Vyas Tipirneni
,Running,P,2022-08-02,AZ,FL,FH,6.0,US Representative,White/Caucasian,Female,R,azkellyt,Kelly Townsend
Y,Running,P,2022-08-02,AZ,FL,FH,6.0,US Representative,White/Caucasian,Male,R,davidschweikert,David Schweikert
,Running,P,2022-08-02,AZ,FL,FH,7.0,US Representative,,Male,R,luis4congress,Luis B. Pozzolo
,Running,P,2022-08-02,AZ,FL,FH,7.0,US Representative,White/Caucasian,Male,R,realjeffzink,Jeffrey N. Zink
Y,Running,P,2022-08-02,AZ,FL,FH,7.0,US Representative,Hispanic/Latino,Male,D,rubengallego,Ruben Gallego
,Running,P,2022-08-02,AZ,FL,FH,8.0,US Representative,Hispanic/Latino,Male,D,michael_muscato,Michael A. Muscato
Y,Running,P,2022-08-02,AZ,FL,FH,8.0,US Representative,White/Caucasian,Female,R,debbielesko,Debbie Lesko
,Running,P,2022-08-02,AZ,FL,FH,9.0,US Representative,Black/African American,Male,R,alexforarizona,Alex Stovall
,Running,P,2022-08-02,AZ,FL,FH,9.0,US Representative,White/Caucasian,Female,R,tanyaforarizona,Tanya C. Wheeless
Y,Running,P,2022-08-02,AZ,FL,FH,9.0,US Representative,White/Caucasian,Male,D,gregstantonaz,Greg Stanton
,Running,P,2022-08-02,AZ,FL,FH,9.0,US Representative,White/Caucasian,Male,R,votegiles,David V. Giles
,Withdrew From Race,P,2022-08-02,AZ,FL,FH,9.0,US Representative,Hispanic/Latino,Male,R,8aularodriguez,Saul Rodriguez
,Running,P,2022-08-02,AZ,FL,FS,,US Senator,White/Caucasian,Male,R,bgmasters,Blake Masters
,Running,P,2022-08-02,AZ,FL,FS,,US Senator,White/Caucasian,Male,R,jim_lamon,Jim Lamon
,Running,P,2022-08-02,AZ,FL,FS,,US Senator,White/Caucasian,Male,R,robpavezaaz,Robert Paveza
Y,Running,P,2022-08-02,AZ,FL,FS,,US Senator,White/Caucasian,Male,D,senmarkkelly,Mark Kelly
,Running,P,2022-08-02,AZ,FL,FS,,US Senator,White/Caucasian,Male,R,generalmcguire,Michael T. McGuire
,Running,P,2022-08-02,AZ,FL,FS,,US Senator,White/Caucasian,Male,R,brnoforaz,Mark Brnovich
,Running,P,2022-08-02,AZ,FL,FS,,US Senator,White/Caucasian,Male,R,_justinolson,Justin D. Olson
,Running,P,2022-05-24,AR,FL,FH,1.0,US Representative,Black/African American,Male,D,monteforar,Monte Hodges
Y,Running,P,2022-05-24,AR,FL,FH,1.0,US Representative,White/Caucasian,Male,R,crawford4cong,Rick Crawford
,Running,P,2022-05-24,AR,FL,FH,2.0,US Representative,Black/African American,Female,D,,Quintessa Hathaway
,Withdrew From Race,P,2022-05-24,AR,FL,FH,2.0,US Representative,,Male,D,ncartwrightar,Nicolas Cartwright
Y,Running,P,2022-05-24,AR,FL,FH,2.0,US Representative,White/Caucasian,Male,R,electfrench,French Hill
,Running,P,2022-05-24,AR,FL,FH,2.0,US Representative,White/Caucasian,Male,R,colonelreynolds,Conrad E. Reynolds
,Running,P,2022-05-24,AR,FL,FH,3.0,US Representative,,Female,D,lauren4arkansas,Lauren Hays
Y,Running,P,2022-05-24,AR,FL,FH,3.0,US Representative,White/Caucasian,Male,R,womack4congress,Steve Womack
Y,Running,P,2022-05-24,AR,FL,FH,4.0,US Representative,White/Caucasian,Male,R,westermanar,Bruce Westerman
,Running,P,2022-05-24,AR,FL,FS,,US Senator,Black/African American,Female,D,jamesforar,Natalie James
,Running,P,2022-05-24,AR,FL,FS,,US Senator,White/Caucasian,Male,R,jakebequette91,Jake Bequette
,Withdrew From Race,P,2022-05-24,AR,FL,FS,,US Senator,,Male,R,mdeel2022,Michael Deel
,Running,P,2022-05-24,AR,FL,FS,,US Senator,White/Caucasian,Male,R,pstrheathloftis,Heath Loftis
,Running,P,2022-05-24,AR,FL,FS,,US Senator,White/Caucasian,Male,D,danwhitcongress,Daniel A. Whitfield
,Running,P,2022-05-24,AR,FL,FS,,US Senator,White/Caucasian,Female,R,janmorganmedia,Jan Morgan
Y,Running,P,2022-05-24,AR,FL,FS,,US Senator,White/Caucasian,Male,R,boozman4ar,John Boozman
,Running,P,2022-06-07,CA,FL,FH,1.0,US Representative,,Male,D,,David Leon Zink
,Running,P,2022-06-07,CA,FL,FH,1.0,US Representative,,Male,D,maxsteinerca,Max Steiner
Y,Running,P,2022-06-07,CA,FL,FH,1.0,US Representative,White/Caucasian,Male,R,douglamalfa,Doug LaMalfa
,Running,P,2022-06-07,CA,FL,FH,10.0,US Representative,White/Caucasian,Male,R,simonaslanpour,Simon M. Aslanpour
,Running,P,2022-06-07,CA,FL,FH,10.0,US Representative,Hispanic/Latino,Female,D,angelina_sigala,Angelina Rosario Sigala
Y,Running,P,2022-06-07,CA,FL,FH,10.0,US Representative,White/Caucasian,Male,D,joshharder,Josh Harder
,Withdrew From Race,P,2022-06-07,CA,FL,FH,10.0,US Representative,White/Caucasian,Male,R,jeffdenham,Jeff Denham
Y,Running,P,2022-06-07,CA,FL,FH,11.0,US Representative,White/Caucasian,Male,D,markdesaulnier,Mark DeSaulnier
,Running,P,2022-06-07,CA,FL,FH,12.0,US Representative,,Male,R,greglentzca12,Greg Lentz
,Running,P,2022-06-07,CA,FL,FH,12.0,US Representative,,Female,D,therealbaroness,Bianca Von Krieg
,Running,P,2022-06-07,CA,FL,FH,12.0,US Representative,White/Caucasian,Male,D,ericcurrysf,Eric A. Curry
,Running,P,2022-06-07,CA,FL,FH,12.0,US Representative,White/Caucasian,Male,D,12thjeff,Jeffrey A. Phillips
,Running,P,2022-06-07,CA,FL,FH,12.0,US Representative,Other,Male,D,shahidforchange,Shahid A. Buttar
,Running,P,2022-06-07,CA,FL,FH,12.0,US Representative,White/Caucasian,Male,R,realjohndennis,John Dennis
Y,Running,P,2022-06-07,CA,FL,FH,12.0,US Representative,White/Caucasian,Female,D,teampelosi,Nancy Pelosi
,Running,P,2022-06-07,CA,FL,FH,13.0,US Representative,White/Caucasian,Male,R,davidgiglioca,David A. Giglio
,Running,P,2022-06-07,CA,FL,FH,13.0,US Representative,,Male,D,philarballo,Phil Arballo
,Running,P,2022-06-07,CA,FL,FH,13.0,US Representative,White/Caucasian,Male,D,adamgrayca,Adam Gray
Y,Running,P,2022-06-07,CA,FL,FH,13.0,US Representative,Black/African American,Female,D,bleeforcongress,Barbara Lee
,Running,P,2022-06-07,CA,FL,FH,14.0,US Representative,Asian/Pacific American,Male,R,tomwongphd,Tom K. Wong
,Running,P,2022-06-07,CA,FL,FH,14.0,US Representative,White/Caucasian,Male,D,kevinmullin,Kevin Mullin
,Running,P,2022-06-07,CA,FL,FH,14.0,US Representative,,Male,D,davidcanepa,David Canepa
Y,Withdrew From Race,P,2022-06-07,CA,FL,FH,14.0,US Representative,White/Caucasian,Female,D,jackiespeier,Jackie Speier
,Running,P,2022-06-07,CA,FL,FH,15.0,US Representative,White/Caucasian,Female,R,alison4congress,Alison Hayden
,Withdrew From Race,P,2022-06-07,CA,FL,FH,16.0,US Representative,White/Caucasian,Male,R,browncongress16,Nathan K. Brown
Y,Running,P,2022-06-07,CA,FL,FH,17.0,US Representative,Other,Male,D,rokhanna,Ro Khanna
,Running,P,2022-06-07,CA,FL,FH,18.0,US Representative,Black/African American,Male,D,ajwangrading,Ajwang Rading
,Running,P,2022-06-07,CA,FL,FH,18.0,US Representative,Asian/Pacific American,Male,D,gregtanaka,Greg Tanaka
,Running,P,2022-06-07,CA,FL,FH,18.0,US Representative,Other,Male,D,rishikumar1,Rishi Kumar
,Running,P,2022-06-07,CA,FL,FH,18.0,US Representative,,Male,R,pohtaki,Peter Ohtaki
Y,Running,P,2022-06-07,CA,FL,FH,18.0,US Representative,White/Caucasian,Female,D,eshoo4congress,Anna G. Eshoo
,Running,P,2022-06-07,CA,FL,FH,19.0,US Representative,Hispanic/Latino,Male,R,iicruzusa,Ignacio I. Cruz
Y,Running,P,2022-06-07,CA,FL,FH,19.0,US Representative,White/Caucasian,Female,D,zoelofgren,Zoe Lofgren
Y,Running,P,2022-06-07,CA,FL,FH,2.0,US Representative,White/Caucasian,Male,D,jaredhuffman,Jared Huffman
,Running,P,2022-06-07,CA,FL,FH,20.0,US Representative,White/Caucasian,Male,R,jeffgormanmry,Jeffrey Gorman
Y,Running,P,2022-06-07,CA,FL,FH,20.0,US Representative,White/Caucasian,Male,D,jimmypanetta,Jimmy Panetta
,Withdrew From Race,P,2022-06-07,CA,FL,FH,21.0,US Representative,Hispanic/Latino,Male,D,laraforcongress,Angel Lara
,Withdrew From Race,P,2022-06-07,CA,FL,FH,21.0,US Representative,White/Caucasian,Male,D,tjcoxcongress,T.J. Cox
,Withdrew From Race,P,2022-06-07,CA,FL,FH,21.0,US Representative,Hispanic/Latino,Female,D,parra4congress,Nicole M. Parra
,Running,P,2022-06-07,CA,FL,FH,22.0,US Representative,Hispanic/Latino,Male,D,bryanosorio2022,Bryan Osorio
,Running,P,2022-06-07,CA,FL,FH,22.0,US Representative,White/Caucasian,Male,R,chrismathysca21,Chris P. Mathys
,Running,P,2022-06-07,CA,FL,FH,22.0,US Representative,,Female,R,vote4martha,Martha E. Flores-Gibson
,Running,P,2022-06-07,CA,FL,FH,22.0,US Representative,Hispanic/Latino,Male,R,dgvaladao,David Valadao
,Running,P,2022-06-07,CA,FL,FH,22.0,US Representative,Hispanic/Latino,Male,D,rudysalasjr,Rudy Salas
,Withdrew From Race,P,2022-06-07,CA,FL,FH,22.0,US Representative,Hispanic/Latino,Male,R,team_nunes,Devin Nunes
,Withdrew From Race,P,2022-06-07,CA,FL,FH,23.0,US Representative,,Male,D,gillforcal_23,Louis Gill
,Running,P,2022-06-07,CA,FL,FH,23.0,US Representative,White/Caucasian,Female,D,marisawoodca,Marisa Wood
,Running,P,2022-06-07,CA,FL,FH,23.0,US Representative,White/Caucasian,Male,D,brunoamato_1,Bruno Amato
Y,Running,P,2022-06-07,CA,FL,FH,23.0,US Representative,White/Caucasian,Male,R,kevinomccarthy,Kevin McCarthy
Y,Running,P,2022-06-07,CA,FL,FH,24.0,US Representative,Hispanic/Latino,Male,D,carbajalsalud,Salud Carbajal
,Running,P,2022-06-07,CA,FL,FH,25.0,US Representative,,Female,D,darafaye,Dara Faye Stransky
,Running,P,2022-06-07,CA,FL,FH,25.0,US Representative,Black/African American,Male,D,quayequartey,Quaye Quartey
,Running,P,2022-06-07,CA,FL,FH,25.0,US Representative,,Female,D,ruthluevanos,Ruth Luevanos
,Withdrew From Race,P,2022-06-07,CA,FL,FH,25.0,US Representative,,Female,D,rhoda4congress,Rhoda Nazanin
Y,Running,P,2022-06-07,CA,FL,FH,25.0,US Representative,Hispanic/Latino,Male,R,electmikegarcia,Mike Garcia
,Running,P,2022-06-07,CA,FL,FH,25.0,US Representative,White/Caucasian,Female,D,christysmithca,Christy Smith
,Running,P,2022-06-07,CA,FL,FH,26.0,US Representative,,Male,R,fadde,Fadde Mikhail
,Running,P,2022-06-07,CA,FL,FH,26.0,US Representative,White/Caucasian,Male,R,mattjacobsca,Matthew Jacobs
,Running,P,2022-06-07,CA,FL,FH,26.0,US Representative,Black/African American,Female,R,ronda4congress,Ronda Baldwin Kennedy
Y,Running,P,2022-06-07,CA,FL,FH,26.0,US Representative,White/Caucasian,Female,D,juliabrownley,Julia Brownley
Y,Running,P,2022-06-07,CA,FL,FH,27.0,US Representative,Asian/Pacific American,Female,D,judychucampaign,Judy Chu
,Running,P,2022-06-07,CA,FL,FH,28.0,US Representative,White/Caucasian,Female,D,maebe_a_girl,G. Maebe Pudlo
,Running,P,2022-06-07,CA,FL,FH,28.0,US Representative,White/Caucasian,Male,R,johnny_congress,Johnny J. Nalbandian
,Running,P,2022-06-07,CA,FL,FH,28.0,US Representative,Hispanic/Latino,Male,D,genovesesal,Sal Genovese
Y,Running,P,2022-06-07,CA,FL,FH,28.0,US Representative,White/Caucasian,Male,D,adamschiff,Adam Schiff
,Running,P,2022-06-07,CA,FL,FH,29.0,US Representative,Hispanic/Latino,Female,D,angelica4ca,Angelica M. Duenas
Y,Running,P,2022-06-07,CA,FL,FH,29.0,US Representative,Hispanic/Latino,Male,D,tcardenas,Tony Cardenas
,Running,P,2022-06-07,CA,FL,FH,3.0,US Representative,,Male,R,bestofalllll,Jim Scott
,Running,P,2022-06-07,CA,FL,FH,3.0,US Representative,White/Caucasian,Male,R,paletta2022,Jason Paletta
,Running,P,2022-06-07,CA,FL,FH,3.0,US Representative,,Female,R,alpha_fts,Monika L. London
,Running,P,2022-06-07,CA,FL,FH,3.0,US Representative,Black/African American,Female,R,tamikaghamilton,Tamika Hamilton
,Running,P,2022-06-07,CA,FL,FH,3.0,US Representative,White/Caucasian,Male,R,sheriffsjones,Scott R. Jones
Y,Running,P,2022-06-07,CA,FL,FH,3.0,US Representative,White/Caucasian,Male,D,johngaramendi,John Garamendi
,Running,P,2022-06-07,CA,FL,FH,30.0,US Representative,Two or More Ethnicities,Male,D,jasonpotell,Jason R. Potell
,Running,P,2022-06-07,CA,FL,FH,30.0,US Representative,,Female,D,aarikarhodes,Aarika S. Rhodes
,Running,P,2022-06-07,CA,FL,FH,30.0,US Representative,White/Caucasian,Male,D,aazamishervin,Shervin Aazami
,Running,P,2022-06-07,CA,FL,FH,30.0,US Representative,,Female,R,volotzkylucie,Lucie LaPointe Volotzky
,Running,P,2022-06-07,CA,FL,FH,30.0,US Representative,White/Caucasian,Male,D,rajirab2020,Raji Rab
,Running,P,2022-06-07,CA,FL,FH,31.0,US Representative,,Male,R,rexforcongress,Rex D.A. Gutierrez
,Running,P,2022-06-07,CA,FL,FH,31.0,US Representative,,Female,R,covell4congress,Carolyn Covell
Y,Running,P,2022-06-07,CA,FL,FH,31.0,US Representative,Hispanic/Latino,Male,D,aguilarcampaign,Pete Aguilar
,Running,P,2022-06-07,CA,FL,FH,32.0,US Representative,,Female,R,mtoomim,Leah M. Toomim
Y,Running,P,2022-06-07,CA,FL,FH,32.0,US Representative,Hispanic/Latino,Female,D,grace4congress,Grace F. Napolitano
,Running,P,2022-06-07,CA,FL,FH,33.0,US Representative,Asian/Pacific American,Female,R,drsarahsunliew1,Sarah Sun Liew
Y,Running,P,2022-06-07,CA,FL,FH,33.0,US Representative,Asian/Pacific American,Male,D,tedlieu,Ted Lieu
Y,Running,P,2022-06-07,CA,FL,FH,34.0,US Representative,Hispanic/Latino,Male,D,jimmygomezca,Jimmy Gomez
Y,Running,P,2022-06-07,CA,FL,FH,35.0,US Representative,Hispanic/Latino,Female,D,norma4congress,Norma Torres
,Running,P,2022-06-07,CA,FL,FH,36.0,US Representative,Black/African American,Male,R,realpastorbrian,Brian E. Hawkins
Y,Running,P,2022-06-07,CA,FL,FH,36.0,US Representative,Hispanic/Latino,Male,D,dr_raulruiz,Raul Ruiz
,Running,P,2022-03-01,CA,FL,FH,37.0,US Representative,,Male,R,jd4tx,Jeremiah David Diacogiannis
,Running,P,2022-06-07,CA,FL,FH,37.0,US Representative,Black/African American,Female,D,janperry,Jan Perry
,Running,P,2022-06-07,CA,FL,FH,37.0,US Representative,Black/African American,Male,D,danielwaynelee0,Daniel Wayne Lee
Y,Withdrew From Race,P,2022-06-07,CA,FL,FH,37.0,US Representative,Black/African American,Female,D,karenbasstweets,Karen Bass
,Running,P,2022-06-07,CA,FL,FH,38.0,US Representative,Black/African American,Male,D,sjr2022,Sylvester U. Ani
,Running,P,2022-06-07,CA,FL,FH,38.0,US Representative,White/Caucasian,Female,D,emcongress2022,Elizabeth Moreira
Y,Running,P,2022-06-07,CA,FL,FH,38.0,US Representative,Hispanic/Latino,Female,D,lindatsanchez,Linda Sanchez
,Running,P,2022-06-07,CA,FL,FH,39.0,US Representative,Asian/Pacific American,Male,R,ericchi95677803,Eric J. Ching
Y,Running,P,2022-06-07,CA,FL,FH,39.0,US Representative,Asian/Pacific American,Female,R,youngkimca,Young Kim
,Running,P,2022-06-07,CA,FL,FH,39.0,US Representative,Asian/Pacific American,Male,D,jfchen,Jay F. Chen
,Running,P,2022-06-07,CA,FL,FH,4.0,US Representative,,Male,D,drkermitjones,Kermit Jones
,Running,P,2022-06-07,CA,FL,FH,4.0,US Representative,White/Caucasian,Female,D,brynnespeak,Brynne Kennedy
Y,Running,P,2022-06-07,CA,FL,FH,4.0,US Representative,White/Caucasian,Male,R,tommcclintock,Tom McClintock
,Running,P,2022-06-07,CA,FL,FH,40.0,US Representative,,Female,D,lopez4congress,Jazmin Nicole Lopez
,Running,P,2022-06-07,CA,FL,FH,40.0,US Representative,,Male,R,nicktaurus45,Nicholas A. Taurus
,Running,P,2022-06-07,CA,FL,FH,40.0,US Representative,,Male,D,anthonyfelixjr,Anthony Felix
,Running,P,2022-06-07,CA,FL,FH,41.0,US Representative,White/Caucasian,Male,R,bill_spinney,Bill Spiney
,Running,P,2022-06-07,CA,FL,FH,41.0,US Representative,Black/African American,Female,R,ajaforcongress,Aja Smith
Y,Running,P,2022-06-07,CA,FL,FH,41.0,US Representative,Asian/Pacific American,Male,D,marktakano,Mark Takano
,Running,P,2022-06-07,CA,FL,FH,42.0,US Representative,,Female,D,shrinakurani,Shrina Kurani
,Running,P,2022-06-07,CA,FL,FH,42.0,US Representative,,Male,D,mosely4congress,Brandon Mosely
,Running,P,2022-06-07,CA,FL,FH,42.0,US Representative,Hispanic/Latino,Male,D,anthony_a_rios,Angel A. Rios
,Running,P,2022-06-07,CA,FL,FH,42.0,US Representative,White/Caucasian,Female,D,marston4ca42,Regina L. Marston
,Withdrew From Race,P,2022-06-07,CA,FL,FH,42.0,US Representative,White/Caucasian,Male,D,liamomaraiv,William E. O'Mara
,Running,P,2022-06-07,CA,FL,FH,42.0,US Representative,Hispanic/Latino,Male,D,robertgarcia,Robert Garcia
,Running,P,2022-06-07,CA,FL,FH,42.0,US Representative,Hispanic/Latino,Female,D,cgarcia_ca,Cristina Garcia
Y,Running,P,2022-06-07,CA,FL,FH,42.0,US Representative,White/Caucasian,Male,R,teamcalvert,Ken Calvert
,Running,P,2022-06-07,CA,FL,FH,43.0,US Representative,Black/African American,Male,R,joeecollins3,Joe E. Collins
,Running,P,2022-06-07,CA,FL,FH,43.0,US Representative,Hispanic/Latino,Male,R,realomarnavarro,Omar Navarro
Y,Running,P,2022-06-07,CA,FL,FH,43.0,US Representative,Black/African American,Female,D,maxinewaters,Maxine Waters
Y,Running,P,2022-06-07,CA,FL,FH,44.0,US Representative,Hispanic/Latino,Female,D,nanette4ca,Nanette Diaz Barragan
,Running,P,2022-06-07,CA,FL,FH,45.0,US Representative,,Male,R,adamphancock,Adam Matthew Hancock
,Running,P,2022-06-07,CA,FL,FH,45.0,US Representative,,Male,R,gonzalesforca45,Christopher J. Gonzales
,Running,P,2022-06-07,CA,FL,FH,45.0,US Representative,Asian/Pacific American,Female,R,amyphanwest,Amy Phan West
,Running,P,2022-06-07,CA,FL,FH,45.0,US Representative,White/Caucasian,Male,R,burley4congress,Brian J. Burley
Y,Running,P,2022-06-07,CA,FL,FH,45.0,US Representative,White/Caucasian,Female,D,katieporteroc,Katie Porter
,Withdrew From Race,P,2022-06-07,CA,FL,FH,45.0,US Representative,White/Caucasian,Male,D,brianforde,Brian Forde
,Running,P,2022-06-07,CA,FL,FH,46.0,US Representative,Hispanic/Latino,Male,D,ortega4congress,Michael Ortega
Y,Running,P,2022-06-07,CA,FL,FH,46.0,US Representative,Hispanic/Latino,Male,D,voteloucorrea,Lou Correa
,Running,P,2022-06-07,CA,FL,FH,47.0,US Representative,Black/African American,Male,D,wmsforthepeople,William Moses Summerville
,Running,P,2022-06-07,CA,FL,FH,47.0,US Representative,Black/African American,Male,R,errolwebber,Errol Webber
,Running,P,2022-06-07,CA,FL,FH,47.0,US Representative,White/Caucasian,Male,R,johnfbrisco,John F. Briscoe
,Running,P,2022-06-07,CA,FL,FH,47.0,US Representative,White/Caucasian,Male,R,scottbaughca47,Scott Baugh
Y,Withdrew From Race,P,2022-06-07,CA,FL,FH,47.0,US Representative,White/Caucasian,Male,D,alanlowenthal,Alan Lowenthal
Y,Running,P,2022-06-07,CA,FL,FH,48.0,US Representative,Asian/Pacific American,Female,R,michellesteelca,Michelle Steel
,Withdrew From Race,P,2022-06-07,CA,FL,FH,48.0,US Representative,White/Caucasian,Male,D,harleyrouda,Harley Rouda
,Running,P,2022-06-07,CA,FL,FH,48.0,US Representative,White/Caucasian,Male,R,darrellissa,Darrell Issa
